日期,商品名称,商品ID,类别,属性类别,属性名称,搜索人群占比,访问人群占比,支付人群占比
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,新老访客,新客,,97.01%,75.41%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,新老访客,老客,,2.99%,24.59%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,18-25岁,,5.67%,5.17%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,26-30岁,,11.02%,13.60%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,31-35岁,,14.93%,18.35%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,36-40岁,,14.28%,17.65%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,41-50岁,,14.82%,16.42%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,51岁以上,,5.51%,3.46%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,年龄,蒙面侠,,33.78%,25.36%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,性别,女,,70.14%,69.28%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,性别,男,,27.44%,30.68%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,性别,未知,,2.42%,0.05%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,兴趣爱好,养生专家,,15.09%,48.32%
2023-02-01 ~ 2023-02-28,美国进口MoveFree益节 氨糖软骨素 钙片 维骨力氨基葡萄糖120粒*2,527016966632,竞品,兴趣爱好,吃货,,7.66%,4.52%
